location,name,freq,weighting,n_factors,date,ret
usa,momentum,daily,vw_cap,6,1927-07-08,0.00481988054787535
usa,momentum,daily,vw_cap,6,1927-07-09,-0.00258041047133182
usa,momentum,daily,vw_cap,6,1927-07-11,0.00320940159567496
usa,momentum,daily,vw_cap,6,1927-07-12,-0.000646140565061524
usa,momentum,daily,vw_cap,6,1927-07-13,0.00128990674049303
usa,momentum,daily,vw_cap,6,1927-07-14,-0.000431854413093313
usa,momentum,daily,vw_cap,6,1927-07-15,-0.00016872850925647
usa,momentum,daily,vw_cap,6,1927-07-16,-0.00320744505594441
usa,momentum,daily,vw_cap,6,1927-07-18,0.000212669865501194
usa,momentum,daily,vw_cap,6,1927-07-19,-0.0000461095282892012
usa,momentum,daily,vw_cap,6,1927-07-20,0.00387422194004515
usa,momentum,daily,vw_cap,6,1927-07-21,-0.00272128383246777
usa,momentum,daily,vw_cap,6,1927-07-22,-0.00142665140149171
usa,momentum,daily,vw_cap,6,1927-07-23,-0.000362940932628202
usa,momentum,daily,vw_cap,6,1927-07-25,0.000949117444989936
usa,momentum,daily,vw_cap,6,1927-07-26,-0.000505231864558093
usa,momentum,daily,vw_cap,6,1927-07-27,-0.00168409874906935
usa,momentum,daily,vw_cap,6,1927-07-28,0.00010309577271611
usa,momentum,daily,vw_cap,6,1927-07-29,0.00162095106230692
usa,momentum,daily,vw_cap,6,1927-07-30,0.00245121368576545
usa,momentum,daily,vw_cap,6,1927-08-01,0.00625172813952856
usa,momentum,daily,vw_cap,6,1927-08-02,0.00041516348143714
usa,momentum,daily,vw_cap,6,1927-08-03,-0.00689154461096256
